Gender,Driving experience,Previous involvement in road accidents,Speeding,Improper overtaking_1 ,Improper overtaking_2,Mobile Phone Use while Driving_1,Mobile Phone Use while Driving_2,Tail-gating,Disobey Traffic Light
0,0,0,1,1,1,0,0,1,1
1,0,0,0,1,1,0,1,1,1
0,1,0,1,1,1,1,1,1,1
1,3,1,1,1,1,1,0,1,0
1,0,0,1,0,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1
1,2,1,0,1,1,1,1,1,0
0,0,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,1,0,1,1,1
1,2,1,0,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,1
0,0,0,1,0,1,1,1,1,0
1,1,1,0,1,1,1,1,0,1
1,2,1,0,0,1,0,1,1,0
0,1,0,0,1,1,0,1,1,0
0,0,0,0,1,1,1,1,1,1
0,1,0,0,1,1,0,1,1,1
0,4,1,0,1,1,1,1,1,1
1,4,1,0,1,1,1,0,1,1
0,3,0,0,1,1,1,1,1,0
0,3,0,1,1,1,1,0,1,0
1,4,1,0,0,1,0,0,1,0
0,4,0,0,0,1,0,1,1,1
1,5,1,0,1,1,1,1,1,1
0,3,1,0,1,1,1,1,1,1
0,5,1,1,1,0,1,1,1,1
1,5,1,1,0,1,1,1,0,1
0,4,0,1,1,1,1,1,1,1
0,5,0,0,0,1,0,1,1,0
0,4,1,0,1,1,1,1,1,0
0,3,0,1,1,1,1,0,1,1
0,3,1,0,1,0,0,0,1,1
0,3,0,0,1,1,1,0,1,0
1,4,1,0,1,1,0,0,0,1
0,5,1,0,0,0,0,0,0,0
0,5,0,1,1,1,1,1,1,1
1,5,0,1,1,0,0,1,0,0
1,3,1,1,1,1,0,1,1,1
1,2,1,1,1,1,1,1,1,1
1,3,0,1,1,1,1,0,0,1
1,5,1,1,1,1,1,1,1,1
1,3,1,0,1,1,0,0,1,0
0,3,0,1,1,0,0,0,1,1
0,4,1,1,0,1,1,1,0,1
1,5,1,1,0,0,0,1,1,0
0,3,0,0,1,1,0,0,0,0
0,3,0,1,1,1,1,0,0,1
0,1,0,1,1,1,0,0,1,1
1,4,1,0,1,0,0,0,1,1
1,3,1,0,1,1,0,0,1,1
0,5,1,1,1,1,1,1,1,1
1,3,1,1,0,0,0,0,0,0
1,4,1,0,0,0,0,0,0,0
1,1,0,1,1,1,0,0,1,1
1,2,1,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,2,1,0,1,1,0,0,0,1
1,2,1,0,1,1,0,0,0,1
1,1,1,1,1,0,1,1,0,1
1,3,1,1,0,0,1,1,0,0
1,5,0,0,0,0,0,0,0,0
1,5,1,1,0,0,1,1,0,0
1,2,1,0,0,0,1,0,0,0
1,5,1,1,0,0,1,0,1,0
1,5,1,0,0,1,0,0,0,1
0,3,1,0,0,0,1,1,0,1
0,5,0,0,0,1,1,1,0,0
0,2,0,1,0,0,0,0,0,1
1,5,1,1,0,0,0,0,0,0
1,5,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,1,0,1
0,1,0,1,0,0,1,1,0,1
0,0,0,0,1,1,1,1,1,1
1,3,1,0,0,1,0,1,0,0
1,3,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,1,1,1
0,4,0,0,0,1,0,0,0,0
0,2,1,0,1,0,0,0,1,1
1,5,0,1,0,0,0,0,1,1
1,0,1,1,1,1,0,0,0,0
1,5,1,0,1,1,1,0,1,1
0,3,1,0,1,0,1,1,0,0
0,0,0,1,1,1,1,1,1,1
0,3,0,1,1,1,1,1,1,1
1,2,1,0,1,1,1,1,0,1
0,5,1,1,1,0,0,0,0,1
0,5,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1
0,5,1,0,1,1,1,1,1,1
0,5,1,0,1,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1
1,1,1,0,1,1,1,1,1,1
0,2,0,1,1,1,1,1,1,1
0,3,1,1,1,1,1,1,1,1
0,5,1,0,1,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1
0,5,0,0,1,1,1,1,1,1
0,5,1,1,0,1,1,1,1,1
1,2,0,0,0,0,0,0,0,0
0,5,1,1,1,1,1,1,1,1
1,5,1,1,1,0,1,1,0,1
0,5,1,1,1,1,1,1,1,0
0,4,1,1,1,1,1,1,1,1
0,4,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1
0,5,1,0,0,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1
1,2,0,1,1,1,0,1,1,1
1,5,1,0,1,1,0,1,0,1
1,5,1,0,1,1,1,1,1,1
1,5,1,0,0,1,1,1,1,0
1,5,1,1,1,1,0,0,1,0
1,4,1,1,1,0,0,1,1,0
1,3,1,1,1,0,1,0,0,0
0,2,1,1,0,0,1,1,1,0
0,1,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,1,1,0
1,5,1,0,0,0,0,0,0,0
0,5,1,1,1,1,1,1,1,1
1,2,1,1,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,1,1
0,2,1,1,1,1,0,0,1,1
0,3,1,1,1,0,0,1,0,0
1,3,1,1,1,1,0,1,1,0
0,2,0,0,0,1,0,1,1,1
0,2,1,1,1,1,1,0,1,0
0,4,1,0,1,1,0,1,1,1
0,3,1,1,0,0,0,0,0,0
0,1,1,0,1,1,1,1,0,1
0,2,1,1,0,0,0,0,1,0
1,2,1,0,0,0,0,0,1,0
0,0,1,1,1,1,0,0,1,1
1,5,1,0,0,1,0,0,0,0
0,1,1,1,1,1,0,0,1,1
1,5,1,0,0,0,0,0,1,0
0,5,1,1,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1
1,2,1,0,0,0,0,0,1,0
